phrase,count
,984
years,34
world,30
lives,23
country,20
way,19
life,18
people,17
united,17
war,13
states,13
time,12
class,12
members,12
power,11
place,11
order,11
change,11
day,10
washington,9
night,8
head,8
days,8
chance,8
president,8
mind,8
family,8
countries,7
months,7
lot,7
students,7
case,6
nations,6
earth,6
month,6
rest,6
history,6
office,6
challenge,6
job,6
climate,6
africa,5
terrorists,5
speech,5
story,5
ones,5
dad,5
planet,5
church,5
facebook,5
of,4
india,4
trade,4
death,4
west,4
humanity,4
union,4
america,4
response,4
care,4
peace,4
light,4
iraq,4
spring,4
honor,4
member,4
school,4
access,4
right,4
security,4
party,4
court,4
congress,4
person,4
vote,4
movies,4
