Year,Positive,Neutral,Negative
2000,0.23642857142857143,0.03857142857142858,0.725
2001,0.0,0.0,0.0
2002,0.20785714285714282,0.07928571428571429,0.7128571428571429
2003,0.0,0.0,0.0
2004,0.3763636363636364,0.07999999999999999,0.5436363636363637
2005,0.6506249999999999,0.099375,0.25
2006,0.0,0.0,0.0
2007,0.4493750000000001,0.04875000000000001,0.5018750000000001
2008,0.4366666666666667,0.04933333333333333,0.5139999999999999
2009,0.505,0.09714285714285716,0.39785714285714285
2010,0.29750000000000004,0.049000000000000016,0.6535
2011,0.38800000000000007,0.08600000000000002,0.526
2012,0.5907692307692308,0.05615384615384617,0.35307692307692307
2013,0.46736842105263154,0.06421052631578948,0.46842105263157885
2014,0.33052631578947367,0.05947368421052633,0.61
2015,0.4194736842105263,0.0436842105263158,0.5368421052631579
2016,0.49333333333333323,0.06583333333333334,0.44083333333333335
2017,0.48500000000000004,0.10388888888888889,0.41111111111111104
2018,0.64,0.10333333333333333,0.2566666666666666
2019,0.4100000000000001,0.11066666666666668,0.47933333333333333
2020,0.27666666666666667,0.05866666666666667,0.6646666666666667
